time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),carbon_dioxide (ppm),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),ammonia (μg/m³),us_aqi (USAQI),uv_index ()
2022-08-04T00:00,21.4,15,364,NaN,7.2,2.8,76,NaN,NaN,0.05
2022-08-04T01:00,18.7,13.2,353,NaN,6.8,2.7,79,NaN,NaN,0.5
2022-08-04T02:00,16.1,11.3,338,NaN,6.4,2.5,83,NaN,NaN,1.35
2022-08-04T03:00,16.7,11.7,313,NaN,5.5,2.2,89,NaN,NaN,2.55
2022-08-04T04:00,17.3,12.2,289,NaN,4.4,1.9,94,NaN,NaN,5.15
2022-08-04T05:00,18.1,12.7,261,NaN,3.2,1.5,100,NaN,NaN,6.9
2022-08-04T06:00,19.8,13.9,233,NaN,2,1.1,105,NaN,NaN,2.2
2022-08-04T07:00,17.1,12,224,NaN,1.6,1,106,NaN,NaN,3.45
2022-08-04T08:00,18.2,12.8,221,NaN,1.8,1,105,NaN,NaN,3.4
2022-08-04T09:00,16.4,11.5,223,NaN,2.5,1.1,103,NaN,NaN,2.15
2022-08-04T10:00,13.9,9.7,218,NaN,2.6,1.1,101,NaN,NaN,0.85
2022-08-04T11:00,14.4,10.1,213,NaN,2.8,1.2,99,NaN,NaN,0.65
2022-08-04T12:00,17.7,12.4,256,NaN,5.7,1.7,99,NaN,NaN,0.2
2022-08-04T13:00,22.3,15.7,381,NaN,16.9,2.2,84,NaN,NaN,0
2022-08-04T14:00,27.7,19.4,558,NaN,32.8,3,63,NaN,NaN,0
2022-08-04T15:00,32,22.4,727,NaN,47.5,3.7,43,NaN,NaN,0
2022-08-04T16:00,33.4,23.3,739,NaN,47.2,3.7,41,NaN,NaN,0
2022-08-04T17:00,32.5,22.7,694,NaN,41.2,3.4,45,NaN,NaN,0
2022-08-04T18:00,29.6,20.8,618,NaN,32.2,3.2,52,NaN,NaN,0
2022-08-04T19:00,27.6,19.3,565,NaN,26.4,3.2,56,NaN,NaN,0
2022-08-04T20:00,27.4,19.2,504,NaN,20.2,3.4,62,NaN,NaN,0
2022-08-04T21:00,27,19,445,NaN,13.9,3.7,67,NaN,NaN,0
2022-08-04T22:00,27.6,19.3,438,NaN,12.4,4.1,68,NaN,NaN,0
2022-08-04T23:00,28.4,19.9,450,NaN,12.7,4.6,68,NaN,NaN,0
2022-08-05T00:00,31.7,22.2,478,NaN,14.1,5.2,68,NaN,58,0.05
2022-08-05T01:00,29.7,20.8,435,NaN,11.6,4.5,75,NaN,59,0.45
2022-08-05T02:00,25.3,17.7,374,NaN,8.2,3.5,85,NaN,59,1.65
2022-08-05T03:00,23.1,16.2,303,NaN,4.3,2.5,97,NaN,60,3.8
2022-08-05T04:00,20.3,14.2,272,NaN,2.9,2,103,NaN,60,6.15
2022-08-05T05:00,20,14,250,NaN,2.2,1.8,108,NaN,61,7.75
2022-08-05T06:00,20,14,231,NaN,1.6,1.5,112,NaN,61,8.05
2022-08-05T07:00,20.2,14.1,223,NaN,1.4,1.5,113,NaN,61,6.1
2022-08-05T08:00,20.8,14.6,221,NaN,1.5,1.5,113,NaN,61,5.25
2022-08-05T09:00,21.4,15,223,NaN,2,1.6,112,NaN,61,3.7
2022-08-05T10:00,21.7,15.2,213,NaN,1.7,1.6,111,NaN,61,1.95
2022-08-05T11:00,23,16.1,202,NaN,1.4,1.6,109,NaN,62,0.6
2022-08-05T12:00,20.3,14.2,244,NaN,5.4,1.9,97,NaN,62,0.2
2022-08-05T13:00,25,17.5,371,NaN,16.9,2.3,82,NaN,63,0
2022-08-05T14:00,35.6,24.9,549,NaN,33,3,61,NaN,63,0
2022-08-05T15:00,39.2,27.5,700,NaN,46.3,3.5,43,NaN,63,0
2022-08-05T16:00,32.2,22.6,659,NaN,41.9,3.4,46,NaN,64,0
2022-08-05T17:00,28.9,20.3,543,NaN,30.3,3,58,NaN,64,0
