iter	Passed	Remaining
0	3	3960
1	5	2908
2	7	2537
3	9	2281
4	11	2191
5	12	2106
6	15	2212
7	17	2189
8	19	2156
9	21	2106
10	22	2054
11	24	2013
12	26	1994
13	28	1986
14	30	1986
15	31	1963
16	33	1944
17	35	1948
18	37	1930
19	39	1916
20	40	1899
21	42	1883
22	43	1865
23	45	1868
24	47	1859
25	49	1849
26	50	1833
27	52	1826
28	55	1844
29	56	1830
30	58	1816
31	60	1817
32	61	1816
33	63	1808
34	65	1795
35	66	1788
36	68	1778
37	69	1772
38	71	1763
39	73	1755
40	75	1755
41	76	1750
42	78	1745
43	80	1740
44	81	1734
45	83	1741
46	85	1732
47	86	1723
48	88	1716
49	90	1710
50	91	1706
51	93	1707
52	95	1704
53	96	1696
54	98	1689
55	100	1686
56	101	1684
57	103	1679
58	104	1674
59	106	1672
60	108	1667
61	109	1662
62	111	1656
63	113	1652
64	114	1647
65	116	1645
66	117	1641
67	119	1636
68	121	1633
69	122	1629
70	124	1627
71	125	1622
72	127	1620
73	129	1615
74	130	1612
75	132	1610
76	134	1607
77	135	1602
78	136	1597
79	138	1591
80	140	1592
81	141	1589
82	143	1584
83	144	1580
84	146	1576
85	148	1575
86	149	1571
87	151	1566
88	152	1564
89	154	1560
90	156	1560
91	157	1557
92	159	1554
93	160	1550
94	162	1548
95	164	1544
96	165	1542
97	167	1539
98	168	1535
99	170	1532
100	171	1527
101	173	1524
102	174	1521
103	176	1518
104	177	1515
105	179	1512
106	180	1510
107	183	1513
108	184	1511
109	186	1510
110	188	1509
111	190	1506
112	191	1504
113	193	1501
114	194	1498
115	196	1495
116	198	1494
117	199	1493
118	201	1491
119	203	1492
120	206	1496
121	207	1494
122	209	1492
123	210	1489
124	212	1485
125	213	1483
126	215	1479
127	216	1477
128	218	1475
129	220	1474
130	222	1472
131	224	1474
132	225	1471
133	227	1469
134	229	1467
135	230	1465
136	232	1462
137	233	1459
138	235	1456
139	236	1454
140	238	1451
141	239	1449
142	241	1446
143	242	1444
144	244	1441
145	248	1452
146	250	1451
147	252	1450
148	253	1448
149	255	1450
150	257	1449
151	259	1447
152	261	1444
153	262	1443
154	264	1440
155	265	1437
156	268	1439
157	269	1438
158	271	1435
159	272	1433
160	274	1430
161	276	1428
162	277	1425
163	279	1423
164	280	1421
165	282	1419
166	284	1417
167	285	1414
168	287	1412
169	288	1410
170	290	1408
171	291	1405
172	293	1403
173	295	1401
174	296	1399
175	298	1396
176	299	1393
177	301	1391
178	302	1388
179	304	1386
180	305	1383
181	307	1382
182	309	1379
183	310	1377
184	312	1376
185	313	1373
186	315	1371
187	316	1368
188	318	1366
189	320	1364
190	321	1363
191	323	1360
192	325	1359
193	326	1357
194	328	1356
195	329	1353
196	331	1350
197	333	1349
198	334	1347
199	336	1346
200	338	1344
201	339	1342
202	341	1340
203	342	1338
204	344	1336
205	346	1334
206	347	1333
207	349	1330
208	351	1328
209	352	1326
210	354	1324
211	355	1322
212	357	1320
213	359	1319
214	361	1319
215	363	1318
216	364	1316
217	366	1315
218	368	1313
219	369	1311
220	371	1308
221	372	1306
222	374	1306
223	376	1304
224	378	1302
225	379	1300
226	381	1298
227	382	1295
228	384	1293
229	386	1292
230	387	1290
231	389	1289
232	391	1287
233	393	1286
234	394	1284
235	396	1282
236	397	1281
237	399	1279
238	401	1277
239	402	1274
240	404	1273
241	405	1270
242	407	1269
243	409	1267
244	410	1265
245	412	1263
246	413	1260
247	415	1258
248	416	1256
249	418	1254
250	419	1252
251	421	1250
252	422	1248
253	424	1245
254	425	1243
255	427	1241
256	428	1239
257	432	1243
258	434	1242
259	435	1240
260	437	1238
261	438	1235
262	440	1233
263	441	1232
264	443	1230
265	445	1228
266	446	1225
267	448	1224
268	449	1222
269	451	1221
270	453	1220
271	455	1219
272	457	1217
273	458	1216
274	460	1213
275	461	1211
276	463	1209
277	464	1207
278	466	1205
279	468	1204
280	469	1202
281	471	1200
282	473	1199
283	474	1197
284	476	1195
285	478	1193
286	479	1192
287	481	1190
288	483	1188
